,Entity,Code,Year,Hydro (TWh growth – sub method),color
268,Austria,AUT,2018,-2.189,E
269,Austria,AUT,2019,7.316,C
270,Azerbaijan,AZE,1986,-1.412,E
271,Azerbaijan,AZE,1987,0.0,D
272,Azerbaijan,AZE,1988,-0.295,E
273,Azerbaijan,AZE,1989,0.0,D
274,Azerbaijan,AZE,1990,2.6660000000000004,D
275,Azerbaijan,AZE,1991,0.281,D
276,Azerbaijan,AZE,1992,-0.033,E
277,Azerbaijan,AZE,1993,1.885,D
278,Azerbaijan,AZE,1994,-1.656,E
279,Azerbaijan,AZE,1995,-0.7609999999999999,E
280,Azerbaijan,AZE,1996,-0.053,E
281,Azerbaijan,AZE,1997,0.486,D
282,Azerbaijan,AZE,1998,0.664,D
283,Azerbaijan,AZE,1999,-1.236,E
284,Azerbaijan,AZE,2000,0.078,D
285,Azerbaijan,AZE,2001,-0.6709999999999999,E
286,Azerbaijan,AZE,2002,1.9480000000000002,D
287,Azerbaijan,AZE,2003,1.19,D
288,Azerbaijan,AZE,2004,0.7290000000000001,D
289,Azerbaijan,AZE,2005,0.637,D
290,Azerbaijan,AZE,2006,-1.364,E
291,Azerbaijan,AZE,2007,-0.451,E
292,Azerbaijan,AZE,2008,-0.387,E
293,Azerbaijan,AZE,2009,0.16399999999999998,D
294,Azerbaijan,AZE,2010,2.93,D
295,Azerbaijan,AZE,2011,-2.052,E
296,Azerbaijan,AZE,2012,-2.244,E
297,Azerbaijan,AZE,2013,-0.878,E
298,Azerbaijan,AZE,2014,-0.505,E
299,Azerbaijan,AZE,2015,0.835,D
300,Azerbaijan,AZE,2016,0.785,D
301,Azerbaijan,AZE,2017,-0.561,E
302,Azerbaijan,AZE,2018,0.027999999999999997,D
303,Azerbaijan,AZE,2019,-0.52,E
304,Bangladesh,BGD,1966,0.0,D
305,Bangladesh,BGD,1967,0.0,D
306,Bangladesh,BGD,1968,0.0,D
307,Bangladesh,BGD,1969,0.0,D
308,Bangladesh,BGD,1970,0.0,D
309,Bangladesh,BGD,1971,0.0,D
310,Bangladesh,BGD,1972,0.486,D
311,Bangladesh,BGD,1973,0.433,D
312,Bangladesh,BGD,1974,-0.244,E
313,Bangladesh,BGD,1975,0.536,D
314,Bangladesh,BGD,1976,0.161,D
315,Bangladesh,BGD,1977,-0.158,E
316,Bangladesh,BGD,1978,0.192,D
317,Bangladesh,BGD,1979,0.225,D
318,Bangladesh,BGD,1980,-0.011000000000000001,E
319,Bangladesh,BGD,1981,0.11699999999999999,D
320,Bangladesh,BGD,1982,-0.28300000000000003,E
321,Bangladesh,BGD,1983,0.386,D
322,Bangladesh,BGD,1984,0.653,D
323,Bangladesh,BGD,1985,-0.439,E
324,Bangladesh,BGD,1986,-0.8029999999999999,E
325,Bangladesh,BGD,1987,0.18600000000000003,D
326,Bangladesh,BGD,1988,0.439,D
327,Bangladesh,BGD,1989,0.6809999999999999,D
328,Bangladesh,BGD,1990,-0.1,E
329,Bangladesh,BGD,1991,-0.128,E
330,Bangladesh,BGD,1992,-0.11699999999999999,E
331,Bangladesh,BGD,1993,-0.522,E
332,Bangladesh,BGD,1994,0.664,D
333,Bangladesh,BGD,1995,-1.319,E
334,Bangladesh,BGD,1996,1.0190000000000001,D
335,Bangladesh,BGD,1997,-0.055999999999999994,E
336,Bangladesh,BGD,1998,0.406,D
337,Bangladesh,BGD,1999,-0.08900000000000001,E
338,Bangladesh,BGD,2000,-0.233,E
339,Bangladesh,BGD,2001,0.66,D
340,Bangladesh,BGD,2002,-0.687,E
341,Bangladesh,BGD,2003,-0.013000000000000001,E
342,Bangladesh,BGD,2004,-0.013000000000000001,E
343,Bangladesh,BGD,2005,-0.013000000000000001,E
344,Bangladesh,BGD,2006,-0.013000000000000001,E
345,Bangladesh,BGD,2007,-0.013000000000000001,E
346,Bangladesh,BGD,2008,0.518,D
347,Bangladesh,BGD,2009,-1.4140000000000001,E
348,Bangladesh,BGD,2010,0.807,D
349,Bangladesh,BGD,2011,0.359,D
350,Bangladesh,BGD,2012,-0.258,E
351,Bangladesh,BGD,2013,-0.13699999999999998,E
352,Bangladesh,BGD,2014,-0.423,E
353,Bangladesh,BGD,2015,0.831,D
354,Bangladesh,BGD,2016,-0.047,E
355,Bangladesh,BGD,2017,0.349,D
356,Bangladesh,BGD,2018,-0.423,E
357,Bangladesh,BGD,2019,-0.113,E
358,Belarus,BLR,1986,0.0,D
359,Belarus,BLR,1987,0.0,D
360,Belarus,BLR,1988,0.0,D
361,Belarus,BLR,1989,0.0,D
362,Belarus,BLR,1990,0.0,D
363,Belarus,BLR,1991,-0.006,E
364,Belarus,BLR,1992,-0.003,E
365,Belarus,BLR,1993,0.006,D
366,Belarus,BLR,1994,0.0,D
367,Belarus,BLR,1995,0.003,D
368,Belarus,BLR,1996,-0.011000000000000001,E
369,Belarus,BLR,1997,0.013999999999999999,D
370,Belarus,BLR,1998,0.019,D
371,Belarus,BLR,1999,-0.025,E
372,Belarus,BLR,2000,0.022000000000000002,D
373,Belarus,BLR,2001,0.008,D
374,Belarus,BLR,2002,-0.003,E
375,Belarus,BLR,2003,-0.003,E
376,Belarus,BLR,2004,0.013000000000000001,D
377,Belarus,BLR,2005,0.008,D
378,Belarus,BLR,2006,-0.003,E
379,Belarus,BLR,2007,-0.001,E
380,Belarus,BLR,2008,0.01,D
381,Belarus,BLR,2009,0.015,D
382,Belarus,BLR,2010,-0.001,E
383,Belarus,BLR,2011,-0.008,E
384,Belarus,BLR,2012,0.077,D
385,Belarus,BLR,2013,0.168,D
386,Belarus,BLR,2014,-0.045,E
387,Belarus,BLR,2015,-0.027000000000000003,E
388,Belarus,BLR,2016,0.076,D
389,Belarus,BLR,2017,0.655,D
390,Belarus,BLR,2018,-0.207,E
391,Belarus,BLR,2019,-0.003,E
392,Belgium,BEL,1966,0.075,D
393,Belgium,BEL,1967,-0.16899999999999998,E
